label, Name, Art:Rank Array
ROLE_001, アタッカー, THS_WH000_A01: 2,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0, 
SUPPORT_ROLE_Guinevere, グィネヴィアサポートロール, _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0, 
SUPPORT_ROLE_Spear, スピアーサポートロール, _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0, 
SUPPORT_ROLE_Lancelot, ランスロットサポートロール, _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0, 
ROLE_MECHA_H1, ウィークヒッター, MCH_Diva: 2,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0, 
ROLE_MECHA_H2, 剣闘マスタリー, MCH_Diva: 3,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0, 
ROLE_MECHA_H3, ドライブシフター, MCH_Diva: 4,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0, 
ROLE_MECHA_H4, プリマドンナ, MCH_Diva: 5,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0, 
ROLE_MECHA_D1, トラブルメイカー, MCH_M901_A01a: 2,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0, 
ROLE_MECHA_D2, タートルスタンス, MCH_M901_A01a: 3,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0, 
ROLE_MECHA_D3, リフレクス, MCH_M901_A01a: 4,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0, 
ROLE_MECHA_D4, 玄武プログラム, MCH_M901_A01a: 5,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0, 
ROLE_MECHA_I1, データリンク, MCH_M902_B01a: 2,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0, 
ROLE_MECHA_I2, サポートプログラム, MCH_M902_B01a: 3,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0, 
ROLE_MECHA_I3, ブレイクダウン, MCH_M902_B01a: 4,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0, 
ROLE_MECHA_I4, 青龍プログラム, MCH_M902_B01a: 5,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0, 
ROLE_MECHA_F1, イージススナイプ, MCH_M903_B01a: 2,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0, 
ROLE_MECHA_F2, ステルスムーブ, MCH_M903_B01a: 3,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0, 
ROLE_MECHA_F3, ウォームアップ, MCH_M905_B01a: 3,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0, 
ROLE_MECHA_F4, 朱雀プログラム, MCH_M903_B01a: 5,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0, 
ROLE_MECHA_C1, シフトアップ, MCH_M904_B01a: 2,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0, 
ROLE_MECHA_C2, ショックインパクト, MCH_M905_B01a: 4,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0, 
ROLE_MECHA_C3, シフトダウン, MCH_M903_B01a: 4,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0, 
ROLE_MECHA_C4, 白虎プログラム, MCH_M904_B01a: 5,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0, 
ROLE_MECHA_S1, イーグルアイ, MCH_M905_B01a: 2,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0, 
ROLE_MECHA_S2, ドライブシフター, MCH_M904_B01a: 4,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0, 
ROLE_MECHA_S3, 射撃マスタリー, MCH_M904_B01a: 3,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0, 
ROLE_MECHA_S4, 黄龍プログラム, MCH_M905_B01a: 5,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0, 
ROLE_MON_001, 用心深い, _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0, 
ROLE_MON_002, 煽り屋, _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0, 
ROLE_MON_003, 好奇心, _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0, 
ROLE_MON_004, 怒りっぽい, _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0, 
ROLE_MON_005, 精神統一, _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0, 
ROLE_MON_006, 免疫, _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0, 
ROLE_MON_007, 代謝, _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0, 
ROLE_MON_008, もぐら心眼, _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0, 
ROLE_MON_009, 偏光感知, _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0, 
ROLE_101, 闇の王, _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0, 
ROLE_102, 木の胎動, MAG_MG_A_01_Mo01: 2,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0, 
ROLE_103, 木の囁き, MAG_MG_A_02_Mo02: 2,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0, 
ROLE_104, 木の隆盛, MAG_MG_A_03_Mo03: 2,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0, 
ROLE_105, 朧な影法師, MAG_MG_A_04_Mo04: 2,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0, 
ROLE_106, 木の深奥, MAG_MG_A_05_Mo05: 2,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0, 
ROLE_107, 火の胎動, MAG_MG_B_01_Ka01: 2,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0, 
ROLE_108, 火魂の奏者, MAG_MG_B_02_Ka02: 2,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0, 
ROLE_109, 火の隆盛, MAG_MG_B_03_Ka03: 2,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0, 
ROLE_110, 覚醒者, MAG_MG_B_04_Ka04: 2,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0, 
ROLE_111, 火の深奥, MAG_MG_B_05_Ka05: 2,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0, 
ROLE_112, 土の胎動, MAG_MG_C_01_Do01: 2,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0, 
ROLE_113, 詩歌低吟, MAG_MG_C_02_Do02: 2,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0, 
ROLE_114, 土の隆盛, MAG_MG_C_03_Do03: 2,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0, 
ROLE_115, 大地の守護者, MAG_MG_C_04_Do04: 2,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0, 
ROLE_116, 土の深奥, MAG_MG_C_05_Do05: 2,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0, 
ROLE_117, 金の胎動, MAG_MG_D_01_Ki01: 2,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0, 
ROLE_118, 雷鳴の消散, MAG_MG_D_02_Ki02: 2,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0, 
ROLE_119, 金の隆盛, MAG_MG_D_03_Ki03: 2,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0, 
ROLE_120, 決戦術士, MAG_MG_D_04_Ki04: 2,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0, 
ROLE_121, 金の深奥, MAG_MG_D_05_Ki05: 2,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0, 
ROLE_122, 水の胎動, MAG_MG_E_01_Su01: 2,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0, 
ROLE_123, 清廉なる心, MAG_MG_E_02_Su02: 2,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0, 
ROLE_124, 水の隆盛, MAG_MG_E_03_Su03: 2,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0, 
ROLE_125, 放歌高吟, MAG_MG_E_04_Su04: 2,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0, 
ROLE_126, 水の深奥, MAG_MG_E_05_Su05: 2,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0, 
ROLE_127, 応急手当, _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0, 
ROLE_128, 応急修理, _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0, 
ROLE_129, 予備29, _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0, 
ROLE_130, 予備30, _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0, 
