label,Attack,AttackCount,AddSingleStageDamage,AddOverAttackDamage,BP,Hit,SureHit,Hate,Weapon,WeaponSub,Speed,AfterCasterSpeed,AfterTargetSpeed,Attribute,BaseParameter,BeforeGuard,AfterGuard,OverAttack,OverAttackLeft,OverAttackRight,OverAttackSelf,Bump,Limit,HitArea,Penetration,RaceSlayer,Random,ReserveType,ReserveProb,ReserveCancel,TargetType,TargetParty,Trace,TraceDifficulty,Turn,BaseElement,EffectType,EffectParam,AddEffectSequence,AddEffect,AddEffectParam,Sequence,DisableSelect,DisableOutActor,DisableOutActorObject
THG_GHBOM_B01,48,1,28,6,4,86,0,47,TwoHandedGun,Bazooka,-3,8,4,Fire None,Tec Wil,0,0,1,2,0,1,0,0,Air,0,None,0,None,0,0,Single,Target,1,0,0,None None None,Defense None None None,-10 0 0 0,None,None None,0 0,GHBOM_B01,0,0,0
THG_GHBOM_B02,36,1,30,8,6,86,0,42,TwoHandedGun,Bazooka,-4,12,6,Fire None,Tec Wil,0,0,1,1,1,1,0,0,Air,0,None,0,None,0,0,All,Target,1,1,0,None None None,None None None None,0 0 0 0,None,None None,0 0,GHBOM_B02,0,1,0
THG_GHCHE_A01,41,1,27,5,3,86,0,44,TwoHandedGun,GrenadeLauncher,1,6,4,Ice None,Tec Wil,0,0,1,0,1,1,0,0,Air,0,None,0,None,0,0,Single,Target,1,1,0,None None None,Magic None None None,-10 0 0 0,None,None None,0 0,GHCHE_A01,0,0,0
THG_GHCHE_B01,47,1,28,6,4,86,0,47,TwoHandedGun,GrenadeLauncher,0,8,4,Ice None,Tec Wil,0,0,1,1,1,1,0,0,Air,0,None,0,None,0,0,Single,Target,1,1,0,None None None,Poison None None None,75 0 0 0,None,None None,0 0,GHCHE_B01,0,0,0
THG_GHCHE_B02,62,1,30,8,6,86,0,52,TwoHandedGun,GrenadeLauncher,-1,12,6,Ice None,Tec Wil,0,0,1,3,0,1,0,0,Air,0,None,0,None,0,0,Single,Target,1,1,0,None None None,Attack None None None,-10 0 0 0,None,None None,0 0,GHCHE_B02,0,0,0
MAR_MA000_A01,20,1,13,22,1,98,0,16,MartialArts,PunchArts,0,0,0,Strike None,Str Vit,0,1,1,0,0,1,0,0,None,0,None,0,None,0,0,Single,Target,1,0,0,None None None,None None None None,0 0 0 0,None,None None,0 0,MA000_A01,0,0,0
MAR_MA000_A07,23,1,14,23,2,98,0,17,MartialArts,PunchArts,1,0,0,Strike Stab,Tec Vit,0,1,1,0,0,1,0,0,None,0,None,0,None,0,0,Single,Target,1,0,0,None None None,Defense None None None,-10 0 0 0,None,None None,0 0,MA000_A07,0,0,0
MAR_MA000_B03,32,1,15,24,3,98,0,18,MartialArts,PunchArts,0,0,0,Strike None,Str Vit,0,1,1,0,0,1,0,0,None,0,None,0,None,0,0,Single,Target,1,1,0,None None None,HateUp None None None,100 0 0 0,None,None None,0 0,MA000_B03,0,1,0
MAR_MA000_B06,35,1,16,25,4,98,0,19,MartialArts,PunchArts,2,0,0,Strike Fire,Str Vit,0,1,1,0,1,1,0,0,None,0,None,0,None,0,0,Single,Target,1,0,0,None None None,None None None None,0 0 0 0,None,Attack None,10 0,MA000_B06,0,1,0
MAR_MA000_B08,42,1,17,26,5,98,0,21,MartialArts,PunchArts,0,0,0,Strike None,Str Vit,0,1,1,2,0,1,0,0,None,0,None,10,None,0,0,Single,Target,1,1,0,None None None,InvalidGuard None None None,100 0 0 0,None,None None,0 0,MA000_B08,0,1,0
MAR_MA000_A02,23,1,10,19,1,95,0,17,MartialArts,KickArts,1,1,2,Strike None,Str Vit,0,0,1,0,0,1,0,0,None,0,None,0,None,0,0,Single,Target,1,0,0,None None None,None None None None,0 0 0 0,None,None None,0 0,MA000_A02,0,0,0
MAR_MA000_A08,33,1,12,21,3,93,0,18,MartialArts,KickArts,2,3,3,Strike Lightning,Qui Vit,0,0,1,0,1,1,2,0,None,0,None,0,None,0,0,Single,Target,1,0,0,None None None,None None None None,0 0 0 0,None,None None,0 0,MA000_A08,0,0,0
MAR_MA000_B01,40,1,13,22,4,95,0,20,MartialArts,KickArts,1,4,3,Strike Ice,Str Vit,0,0,1,1,0,1,0,0,None,0,None,0,None,0,0,Single,Target,1,0,0,None None None,None None None None,0 0 0 0,None,None None,0 0,MA000_B01,0,0,0
MAR_MA000_B04,47,1,14,23,5,95,0,22,MartialArts,KickArts,1,5,3,Strike None,Str Vit,0,0,1,1,1,1,0,0,None,0,None,0,None,0,0,Single,Target,1,0,0,None None None,None None None None,0 0 0 0,None,None None,0 0,MA000_B04,0,0,0
MAR_MA000_B07,52,1,15,24,6,95,0,22,MartialArts,KickArts,2,6,4,Strike None,Qui Vit,0,0,1,0,2,1,0,0,Air,0,None,0,None,0,0,Single,Target,1,0,0,None None None,None None None None,0 0 0 0,None,None None,0 0,MA000_B07,0,0,0
MAR_MA000_A04,29,1,11,20,2,91,0,18,MartialArts,StrikeArts,-1,4,3,Strike None,Vit Vit,0,0,1,0,1,1,1,0,None,0,None,0,None,0,0,Single,Target,1,1,0,None None None,None None None None,0 0 0 0,None,None None,0 0,MA000_A04,0,0,0
MAR_MA000_A06,34,1,12,21,3,92,0,19,MartialArts,StrikeArts,0,6,4,Strike None,Vit Vit,0,0,1,1,0,1,0,0,None,0,None,0,None,0,0,Single,Target,1,0,0,None None None,None None None None,0 0 0 0,None,None None,0 0,MA000_A06,0,0,0
MAR_MA000_A09,41,1,13,22,4,92,0,20,MartialArts,StrikeArts,0,8,4,Strike None,Vit Vit,0,0,1,0,1,1,0,0,Ground,0,None,0,None,0,0,Single,Target,1,1,0,None None None,Stun None None None,50 0 0 0,None,None None,0 0,MA000_A09,0,0,0
MAR_MA000_B02,84,1,7,23,5,92,1,29,MartialArts,StrikeArts,-2,10,5,Strike None,Tec Vit,0,0,1,0,0,1,0,0,None,0,None,0,Counter,84,0,Single,Target,1,1,0,None None None,None InvalidGuard None None,0 100 0 0,None,None None,0 0,MA000_B02,0,0,0
MAR_MA000_B09,50,1,15,24,6,92,0,22,MartialArts,StrikeArts,-1,12,6,Strike None,Vit Vit,1,0,1,1,1,1,0,0,None,0,None,0,None,0,0,Single,Target,1,1,0,None None None,HateReset HateUp None None,0 100 0 0,None,None None,0 0,MA000_B09,0,1,0
MCH_M901_A01a,30,1,12,21,3,95,0,22,MechaMelee,None,0,0,0,Slash None,Str Vit,0,0,1,1,0,1,0,0,None,0,None,0,None,0,0,Single,Target,0,0,0,None None None,Death None None None,25 0 0 0,None,None None,0 0,M901_A01a,0,0,0
MCH_M905_B01a,50,1,15,24,6,95,0,28,MechaShoot,None,0,0,0,Neutral None,Qui Vit,0,0,1,0,2,1,0,0,None,0,None,0,None,0,0,Single,Target,0,0,0,None None None,None None None None,0 0 0 0,None,None None,0 0,M905_B01a,0,1,0
MCH_M90X_A01a,24,1,10,19,1,95,0,21,MechaMelee,None,1,0,0,Slash None,Str Vit,0,0,1,0,0,1,0,0,None,0,None,0,None,0,0,Single,Target,0,0,0,None None None,None None None None,0 0 0 0,None,None None,0 0,M90X_A01a,0,0,0
MCH_M90X_A01a_A,29,1,11,20,2,95,0,22,MechaMelee,None,2,0,0,Slash None,Str Vit,0,0,1,0,1,1,0,0,None,0,None,0,None,0,0,Single,Target,0,0,0,None None None,None None None None,0 0 0 0,None,None None,0 0,M90X_A01a,0,0,0
MCH_M90X_A01a_B,9,1,10,19,1,95,0,9,MechaMelee,None,0,0,0,Slash None,Str Vit,0,0,1,0,0,0,0,0,None,1,None,0,None,0,0,Single,Target,0,0,0,None None None,Stun None None None,50 0 0 0,None,None None,0 0,M90X_A01a,0,0,0
MCH_M90X_A02a,29,1,11,20,2,95,0,22,MechaMelee,None,0,0,0,Slash None,Str Vit,0,0,1,0,1,1,0,0,None,0,None,0,None,0,0,Single,Target,0,0,0,None None None,None None None None,0 0 0 0,None,None None,0 0,M90X_A02a,0,0,0
MCH_M90X_A02a_A,29,1,11,20,2,95,0,22,MechaMelee,None,-1,0,0,Slash None,Str Vit,0,0,1,1,0,1,0,0,None,0,None,0,None,0,0,Single,Target,0,0,0,None None None,None None None None,0 0 0 0,None,None None,0 0,M90X_A02a,0,0,0
MCH_M90X_A03a,45,1,4,20,2,95,0,26,MechaMelee,None,4,0,0,Strike None,Tec Vit,0,0,1,0,0,1,0,0,None,0,None,0,InterruptStrike,100,0,Single,Target,0,0,0,None None None,None InvalidGuard None None,0 100 0 0,None,None None,0 0,M90X_A03a,0,0,0
MCH_M90X_A03a_A,31,1,11,20,2,95,0,23,MechaMelee,None,3,0,0,Strike None,Qui Vit,0,0,1,0,0,0,0,0,None,0,None,0,Chase,100,0,Single,Target,0,0,0,None None None,None None None None,0 0 0 0,None,None None,0 0,M90X_A03a,0,0,0
MCH_M90X_A03a_B,24,1,10,19,1,35,0,21,MechaMelee,None,-2,0,0,Strike None,Str Vit,0,0,1,1,0,1,0,0,None,0,None,0,None,0,0,Single,Target,0,0,0,None None None,None None None None,0 0 0 0,None,None None,0 0,M90X_A03a,0,0,0
MCH_M90X_A04a,0,1,12,21,3,100,0,0,MechaMelee,None,-4,0,0,Fire None,Qui Vit,0,0,0,0,0,0,0,0,None,0,None,0,Chase,100,0,Single,Target,0,0,0,None None None,Death InvalidReserve None None,100 0 0 0,None,Death None,100 0,M90X_A04a,1,0,0
MCH_M90X_A04a_B,0,1,10,19,1,100,0,0,MechaMelee,None,-4,0,0,Fire None,Qui Vit,0,0,0,0,0,0,0,0,None,0,None,0,Chase,100,0,Single,Target,0,0,0,None None None,Death InvalidReserve None None,25 0 0 0,None,Death None,100 0,M90X_A04a,1,0,0
MCH_M90X_A05a,32,1,12,21,3,94,0,23,MechaMelee,None,2,3,3,Slash None,Str Vit,0,0,1,0,2,1,1,0,Air,0,None,0,None,0,0,Single,Target,0,0,0,None None None,Stun StunMecha None None,25 50 0 0,None,None None,0 0,M90X_A05a,0,1,0
MCH_M90X_A05a_A,50,1,5,21,3,95,0,28,MechaMelee,None,0,3,3,Slash None,Tec Vit,0,0,1,0,0,1,0,0,Air,0,None,0,InterruptStab,100,0,Single,Target,0,0,0,None None None,Stun StunMecha InvalidGuard None,50 50 100 0,None,None None,0 0,M90X_A05a,0,1,0
MCH_M90X_A06a,60,1,12,21,3,0,0,0,MechaMelee,None,0,0,0,None None,None None,0,0,0,0,0,0,0,1,None,0,None,0,Protect,100,0,Other,Caster,0,0,0,None None None,None None None None,0 0 0 0,None,None None,0 0,M90X_A01a,1,0,0
MCH_M90X_B01a,35,1,6,22,4,95,0,24,MechaMelee,None,1,0,0,Slash None,Int Vit,0,0,1,0,0,1,0,0,Air,0,None,0,InterruptSlash,100,0,All,Target,0,0,0,None None None,None InvalidGuard None None,0 100 0 0,None,None None,0 0,M90X_B01a,0,1,0
MCH_M90X_B01a_A,18,1,12,21,3,95,0,18,MechaMelee,None,1,0,0,Slash None,Int Vit,0,0,1,1,1,1,0,0,Air,0,None,0,None,0,0,All,Target,0,0,0,None None None,None None None None,0 0 0 0,None,None None,0 0,M90X_B01a,0,1,0
MCH_M90X_B02a,38,1,13,22,4,95,0,24,MechaMelee,None,3,0,0,Strike Lightning,Str Vit,0,0,1,0,1,1,0,0,None,0,None,0,None,0,0,Single,Target,0,0,0,None None None,Paralysis ParalysisMecha None None,25 50 0 0,None,None None,0 0,M90X_B02a,0,0,0
MCH_M90X_B02a_A,45,1,14,23,5,94,0,26,MechaMelee,None,-2,0,0,Strike Lightning,Str Vit,0,0,1,1,0,1,1,0,None,0,None,0,None,0,0,Single,Target,0,0,0,None None None,Paralysis ParalysisMecha None None,50 50 0 0,None,None None,0 0,M90X_B02a,0,0,0
MCH_M90X_B03a,46,1,14,23,5,95,0,26,MechaMelee,None,2,5,3,Slash None,Str Vit,0,0,1,1,1,1,0,0,Air,0,None,0,None,0,1,Single,Target,0,0,0,None None None,Darkness None None None,50 0 0 0,None,None None,0 0,M90X_B03a,0,1,0
MCH_M90X_B03a_A,37,1,13,22,4,95,0,24,MechaMelee,None,3,4,3,Slash None,Str Vit,0,0,1,1,1,1,0,0,Air,0,None,0,None,0,1,Single,Target,0,0,0,None None None,Darkness None None None,100 0 0 0,None,None None,0 0,M90X_B03a,0,1,0
MCH_M90X_B04a,47,1,14,23,5,95,0,27,MechaMelee,None,2,0,0,Strike None,Qui Vit,0,0,1,0,2,1,0,0,None,0,None,0,None,0,0,Single,Target,0,0,0,None None None,Stun StunMecha None None,50 75 0 0,None,None None,0 0,M90X_B04a,0,0,0
MCH_M90X_B05a,31,1,15,24,6,95,0,23,MechaMelee,None,-1,0,0,Slash None,Str Vit,0,0,1,2,0,1,0,0,None,0,None,0,None,0,0,All,Target,0,0,0,None None None,None None None None,0 0 0 0,None,None None,0 0,M90X_B05a,0,1,0
MCH_M90X_B06a,46,1,15,24,6,92,0,26,MechaMelee,None,3,0,0,Strike None,Str Vit,0,0,1,0,2,1,3,0,None,1,None,0,None,0,0,Single,Target,0,0,0,None None None,None None None None,0 0 0 0,None,None None,0 0,M90X_B06a,0,1,0
MCH_Diva,76,1,16,25,7,95,0,34,MechaMelee,None,0,0,0,Slash Ice,Str Vit,0,0,1,1,1,1,0,0,None,0,None,0,None,0,0,Single,Target,0,0,0,None None None,None None None None,0 0 0 0,None,None None,0 0,WHSSW_B04,0,1,0
MCH_M903_B01a,13,1,12,21,3,95,0,13,MechaShoot,None,0,3,3,Neutral None,Int Wil,0,0,1,0,2,1,0,0,Air,0,None,0,None,0,0,All,Target,0,0,0,None None None,StunMecha None None None,50 0 0 0,None,None None,0 0,M903_B01a,0,1,0
MCH_M904_B01a,51,4,13,22,4,95,0,7,MechaShoot,None,0,4,3,Strike Fire,Tec Wil,0,0,1,1,0,1,0,0,Air,0,None,0,None,0,0,RandomAll,Target,0,0,0,None None None,None None None None,0 0 0 0,None,None None,0 0,M904_B01a,0,1,0
MCH_M902_B01a,60,5,14,23,5,95,0,6,MechaMelee,None,0,5,3,Stab Ice,Tec Wil,0,0,1,2,0,1,0,0,Air,0,None,0,None,0,0,RandomAll,Target,0,0,0,None None None,None None None None,0 0 0 0,None,None None,0 0,M902_B01a,0,1,0
MCH_M90Y_A01a,21,1,10,19,1,95,0,20,MechaShoot,None,1,1,2,Ice None,Tec Wil,0,0,1,0,1,1,0,0,Air,0,None,0,None,0,1,Single,Target,0,0,0,None None None,None None None None,0 0 0 0,None,None None,0 0,M90Y_A01a,0,0,0
MCH_M90Y_A01a_A,28,1,11,20,2,95,0,22,MechaShoot,None,-1,2,2,Ice None,Tec Wil,0,0,1,1,0,1,0,0,Air,0,None,0,None,0,1,Single,Target,0,0,0,None None None,None None None None,0 0 0 0,None,None None,0 0,M90Y_A01a,0,0,0
MCH_M90Y_A01a_B,15,1,10,19,1,55,0,15,MechaShoot,None,0,1,2,Ice None,Tec Wil,0,0,1,0,0,0,0,0,Air,1,None,0,None,0,1,Single,Target,0,0,0,None None None,None None None None,0 0 0 0,None,None None,0 0,M90Y_A01a,0,0,0
MCH_M90Y_A02a,21,1,10,19,1,95,0,20,MechaShoot,None,2,1,2,Stab None,Int Wil,0,0,1,0,0,1,0,0,Air,0,None,0,None,0,1,Single,Target,0,0,0,None None None,HateUp None None None,100 0 0 0,None,None None,0 0,M90Y_A02a,0,0,0
MCH_M90Y_A02a_A,29,1,11,9,2,95,0,22,MechaShoot,None,0,2,2,Stab None,Int Wil,0,0,1,0,0,0,0,1,Air,0,None,0,Follow,100,1,Other,Target,0,0,0,None None None,None None None None,0 0 0 0,None,None None,0 0,M90Y_A02a,0,0,0
MCH_M90Y_A03a,12,1,11,20,2,95,0,12,MechaShoot,None,1,2,2,Ice Lightning,Tec Wil,0,0,1,1,1,1,0,0,Air,0,None,0,None,0,0,All,Target,0,0,0,None None None,Speed None None None,-8 0 0 0,None,None None,0 0,M90Y_A03a,0,1,0
MCH_M90Y_A04a,61,1,5,21,3,95,1,30,MechaShoot,None,-3,3,3,Fire None,Tec Wil,0,0,1,0,0,1,0,0,Air,0,None,0,Counter,80,0,Single,Target,0,0,0,None None None,None InvalidGuard None None,0 100 0 0,None,None None,0 0,M90Y_A04a,0,0,0
MCH_M90Y_A05a,43,1,4,20,2,95,0,26,MechaShoot,None,0,2,2,Stab None,Int Wil,0,0,1,0,0,1,0,0,Air,0,None,0,InterruptStab,100,1,Single,Target,0,0,0,None None None,None InvalidGuard None None,0 100 0 0,None,None None,0 0,M90Y_A05a,0,0,0
MCH_M90Y_A06a,33,1,12,21,3,95,1,23,MechaShoot,None,-1,3,3,Stab None,Int Wil,0,0,1,1,1,1,0,0,Air,0,None,0,None,0,1,Single,Target,0,0,0,None None None,None None None None,0 0 0 0,None,None None,0 0,M90Y_A06a,0,0,0
MCH_M90Y_A07a,18,1,12,21,3,95,0,18,MechaShoot,None,0,3,3,Stab None,Tec Wil,0,0,1,1,0,1,0,0,Air,0,None,0,None,0,0,All,Target,0,0,0,None None None,None None None None,0 0 0 0,None,None None,0 0,M90Y_A07a,0,1,0
MCH_M90Y_A08a,40,1,13,22,4,95,0,25,MechaShoot,None,-1,4,3,Ice None,Tec Wil,0,0,1,1,0,1,0,0,Air,0,None,0,None,0,1,Single,Target,0,0,0,None None None,HateReset None None None,100 0 0 0,None,None None,0 0,M90Y_A08a,0,0,0
MCH_M90Y_A08a_A,27,1,11,20,2,95,0,22,MechaShoot,None,0,2,2,Ice None,Tec Wil,0,0,1,0,1,1,0,0,Air,0,None,0,None,0,1,Single,Target,0,0,0,None None None,HateReset None None None,100 0 0 0,None,None None,0 0,M90Y_A08a,0,0,0
MCH_M90Y_A09a,42,1,14,23,5,95,0,26,MechaShoot,None,1,5,3,Lightning None,Int Wil,0,0,1,0,2,1,0,0,Air,0,Mecha,0,None,0,1,Single,Target,0,0,0,None None None,ParalysisMecha None None None,50 0 0 0,None,None None,0 0,M90Y_A09a,0,1,0
MCH_M90Y_B01a,61,4,14,23,5,95,0,8,MechaShoot,None,-2,5,3,Fire None,Tec Wil,0,0,1,2,0,1,0,0,Air,0,None,0,None,0,0,RandomAll,Target,0,0,0,None None None,None None None None,0 0 0 0,None,None None,0 0,M90Y_B01a,0,1,0
MCH_M90Y_B02a,51,5,13,22,4,95,0,6,MechaShoot,None,2,4,3,Stab None,Tec Wil,0,0,1,1,1,1,0,0,Air,0,None,0,None,0,0,RandomAll,Target,0,0,0,None None None,None None None None,0 0 0 0,None,None None,0 0,M90Y_B02a,0,1,0
MCH_M90Y_B03a,21,1,13,22,4,95,0,20,MechaShoot,None,1,4,3,Lightning None,Tec Wil,0,0,1,0,1,1,0,0,Air,0,None,0,None,0,0,All,Target,0,0,0,None None None,Stun StunMecha None None,25 50 0 0,None,None None,0 0,M90Y_B03a,0,1,0
MCH_M90Y_B04a,30,1,15,24,6,95,0,22,MechaShoot,None,-3,6,4,Fire None,Int Wil,0,0,1,3,0,1,0,0,Air,0,None,0,None,0,0,All,Target,0,0,0,None None None,None None None None,0 0 0 0,None,None None,0 0,M90Y_B04a,0,1,0
MCH_M90Y_B05a,26,1,14,23,5,95,0,22,MechaShoot,None,0,5,3,Ice None,Int Wil,0,0,1,1,1,1,0,0,Air,0,None,0,None,0,0,All,Target,0,0,0,None None None,None None None None,0 0 0 0,None,None None,0 0,M90Y_B05a,0,1,0
MCH_M90Y_B06a,69,1,16,25,7,95,0,32,MechaShoot,None,-4,7,4,Lightning None,Tec Wil,0,0,1,2,0,1,0,0,Air,0,None,0,None,0,1,Single,Target,0,0,0,None None None,None None None None,0 0 0 0,None,None None,0 0,M90Y_B06a,0,1,0
MCH_M90Z_A01a,0,1,10,19,1,100,0,0,MechaSupport,None,1,0,0,None None,None None,0,0,0,0,0,0,0,0,None,0,None,0,None,0,0,Single,Caster,0,0,0,None None None,Attack Mecha None None,10 0 0 0,None,None None,0 0,M90Z_A01a,0,0,0
MCH_M90Z_A01a_2,0,1,11,20,2,100,0,0,MechaSupport,None,2,0,0,None None,None None,0,0,0,0,0,0,0,0,None,0,None,0,None,0,0,Single,Caster,0,0,0,None None None,Attack Mecha None None,20 0 0 0,None,None None,0 0,M90Z_A01a,0,0,0
MCH_M90Z_A02a,0,1,10,19,1,100,0,0,MechaSupport,None,-1,0,0,None None,None None,0,0,0,0,0,0,0,0,None,0,None,0,None,0,0,Single,Caster,0,0,0,None None None,Defense Mecha None None,10 0 0 0,None,None None,0 0,M90Z_A02a,0,0,0
MCH_M90Z_A02a_2,0,1,11,20,2,100,0,0,MechaSupport,None,-2,0,0,None None,None None,0,0,0,0,0,0,0,0,None,0,None,0,None,0,0,Single,Caster,0,0,0,None None None,Defense Mecha None None,20 0 0 0,None,None None,0 0,M90Z_A02a,0,0,0
MCH_M90Z_A03a,0,1,10,19,1,100,0,0,MechaSupport,None,4,0,0,None None,None None,0,0,0,0,0,0,0,0,None,0,None,0,None,0,0,Self,Caster,0,0,0,None None None,Speed Mecha None None,8 0 0 0,None,None None,0 0,M90Z_A03a,0,0,0
MCH_M90Z_A03a_2,0,1,11,20,2,100,0,0,MechaSupport,None,5,0,0,None None,None None,0,0,0,0,0,0,0,0,None,0,None,0,None,0,0,Self,Caster,0,0,0,None None None,Speed Mecha None None,16 0 0 0,None,None None,0 0,M90Z_A03a,0,0,0
MCH_M90Z_A04a,0,1,10,19,1,100,0,0,MechaSupport,None,-4,0,0,None None,None None,0,0,0,0,0,0,0,0,None,0,None,0,None,0,0,Self,Caster,0,0,0,None None None,Speed Mecha None None,-8 0 0 0,None,None None,0 0,M90Z_A04a,0,0,0
MCH_M90Z_A04a_2,0,1,11,20,2,100,0,0,MechaSupport,None,-5,0,0,None None,None None,0,0,0,0,0,0,0,0,None,0,None,0,None,0,0,Self,Caster,0,0,0,None None None,Speed Mecha None None,-16 0 0 0,None,None None,0 0,M90Z_A04a,0,0,0
MCH_M90Z_A05a,0,1,11,20,2,100,0,0,MechaSupport,None,0,0,0,None None,None None,0,0,0,0,0,0,0,0,None,0,None,0,None,0,0,Single,Caster,0,0,0,None None None,RecoverMecha Mecha None None,0 0 0 0,None,None None,0 0,M90Z_A05a,0,0,0
MCH_M90Z_A05a_2,0,1,10,19,1,100,0,0,MechaSupport,None,3,0,0,None None,None None,0,0,0,0,0,0,0,0,None,0,None,0,None,0,0,Single,Caster,0,0,0,None None None,RecoverMecha Mecha None None,0 0 0 0,None,None None,0 0,M90Z_A05a,0,0,0
MCH_M90Z_A06a,0,1,11,20,2,100,0,0,MechaSupport,None,-2,0,0,None None,None None,0,0,0,0,0,0,0,0,None,0,None,0,None,0,0,Self,Caster,0,0,0,None None None,Stealth None None None,0 0 0 0,None,None None,0 0,M90Z_A06a,0,1,0
MCH_M90Z_A06a_2,0,1,10,19,1,100,0,0,MechaSupport,None,2,0,0,None None,None None,0,0,0,0,0,0,0,0,None,0,None,0,None,0,0,Self,Caster,0,0,0,None None None,Stealth None None None,0 0 0 0,None,None None,0 0,M90Z_A06a,0,1,0
MCH_M90Z_B01a,0,1,10,19,1,100,0,0,MechaSupport,None,1,0,0,None None,None None,0,0,0,0,0,0,0,0,None,0,None,0,None,0,0,Self,Caster,0,0,0,None None None,InvalidEffectMecha None None None,6 0 0 0,None,None None,0 0,M90Z_B01a,0,1,0
MCH_M90Z_B01a_2,0,1,11,20,2,100,0,0,MechaSupport,None,-1,0,0,None None,None None,0,0,0,0,0,0,0,0,None,0,None,0,None,0,0,Self,Caster,0,0,0,None None None,InvalidEffectMecha None None None,12 0 0 0,None,None None,0 0,M90Z_B01a,0,1,0
MCH_M90Z_B02a,0,1,14,23,5,100,0,0,MechaSupport,None,-4,0,0,None None,None None,0,0,0,0,0,0,0,0,None,0,None,0,None,0,0,Self,Caster,0,0,0,None None None,KongoProgram None None None,0 0 0 0,None,None None,0 0,M90Z_B02a,0,1,0
MCH_M90Z_B02a_2,0,1,12,21,3,100,0,0,MechaSupport,None,-2,0,0,None None,None None,0,0,0,0,0,0,0,0,None,0,None,0,None,0,0,Self,Caster,0,0,0,None None None,KongoProgram None None None,0 0 0 0,None,None None,0 0,M90Z_B02a,0,1,0
MCH_M90Z_B03a,0,1,10,19,1,100,0,0,MechaSupport,None,-1,0,0,None None,None None,0,0,0,0,0,0,0,0,None,0,None,0,None,0,0,Self,Caster,0,0,0,None None None,BPCostUp ArtsDamageUp None None,1 5 0 0,None,None None,0 0,M90Z_B03a,0,1,0
MCH_M90Z_B03a_2,0,1,11,20,2,100,0,0,MechaSupport,None,-2,0,0,None None,None None,0,0,0,0,0,0,0,0,None,0,None,0,None,0,0,Self,Caster,0,0,0,None None None,BPCostUp ArtsDamageUp None None,1 6 0 0,None,None None,0 0,M90Z_B03a,0,1,0
MCH_M90Y_B06a_EN,93,1,16,25,7,95,0,38,MechaShoot,None,-4,7,4,Lightning None,Tec Wil,0,0,1,3,0,1,0,0,Air,0,None,0,None,0,1,Single,Target,0,0,0,None None None,None None None None,0 0 0 0,None,None None,0 0,M90Y_B06a,0,1,0
MCH_M90X_A04a_EN,0,1,12,21,3,100,0,0,MechaMelee,None,-1,0,0,Fire None,Qui Vit,0,0,0,0,0,0,0,0,None,0,None,0,None,0,0,Single,Target,0,0,0,None None None,Death InvalidReserve None None,100 0 0 0,None,Death None,100 0,M90X_A04a,1,0,0
MCH_M90X_A04a_EN2,0,1,12,21,3,100,0,0,MechaMelee,None,-1,0,0,Fire None,Qui Vit,0,0,0,0,0,0,0,0,None,0,None,0,None,0,0,Single,Target,0,0,0,None None None,Attack Defense Speed None,-30 -30 -24 0,None,None None,0 0,M90X_A04a,1,1,0
MCH_M90Z_A04a_EN3,0,1,12,21,3,100,0,0,MechaSupport,None,-1,0,0,None None,Qui Vit,0,0,0,0,0,0,0,0,None,0,None,0,None,0,0,Self,Caster,0,0,0,None None None,Attack Defense Speed None,-10 -10 -8 0,None,None None,0 0,M90Z_B01a,1,1,0
MCH_M901_A01a_EN,25,1,11,20,2,95,0,21,MechaMelee,None,4,0,0,Slash None,Qui Vit,0,0,1,0,0,0,0,0,None,0,None,0,Chase,100,0,Single,Target,0,0,0,None None None,Death None None None,50 0 0 0,None,None None,0 0,M901_A01a,0,0,0
MCH_M90X_A06a_EN,60,1,11,20,2,0,0,0,MechaMelee,None,0,0,0,None None,None None,0,0,0,0,0,0,0,1,None,0,None,0,Protect,100,0,Other,Caster,0,0,0,None None None,None None None None,0 0 0 0,None,None None,0 0,M90X_A01a,1,0,0
MCH_M90X_B03a_A_EN,30,1,12,21,3,95,0,22,MechaMelee,None,4,3,3,Slash None,Str Vit,0,1,1,0,2,1,0,0,Air,0,None,0,None,0,1,Single,Target,0,0,0,None None None,Darkness None None None,50 0 0 0,None,None None,0 0,M90X_B03a,0,1,0
MCH_M90X_B03a_A_EN2,30,1,12,21,3,95,0,22,MechaMelee,None,-9,3,3,Slash None,Str Vit,1,0,1,2,0,1,0,0,Air,0,None,0,None,0,1,Single,Target,0,0,0,None None None,Darkness None None None,50 0 0 0,None,None None,0 0,M90X_B03a,0,1,0
MCH_M90Y_B04a_EN,43,1,14,23,5,94,0,26,MechaShoot,None,4,5,3,Fire None,Int Wil,0,0,1,0,4,1,1,0,Air,0,None,0,None,0,0,AreaBack,Target,0,0,0,None None None,AreaBump None None None,100 0 0 0,None,None None,0 0,M90Y_B04a,0,1,0
MCH_M90Z_A01a_EN,0,1,10,19,1,100,0,0,MechaSupport,None,1,0,0,None None,None None,0,1,0,0,0,0,0,0,None,0,None,0,None,0,0,Other,Caster,0,0,0,None None None,Attack Mecha None None,20 0 0 0,None,None None,0 0,M90Z_A01a,0,0,0
